Name,Year,Theme,Pieces,USD_MSRP,Current_Price
Straight Rails,1991,Trains,8.0,12.99,50.4242
Curved Rails,1991,Trains,8.0,12.99,16.0
Manual Points with Track,1991,Trains,6.0,27.99,28.0
Transformer and Speed Regulator,1991,Trains,3.0,41.99,60.0
Large Building Plate,1992,Duplo,1.0,14.99,7.0
"Building Plate, Green",1996,Basic,1.0,4.99,7.95
X-Large Baseplate Grey,1996,Basic,1.0,14.99,15.0
Rail Crossing,1999,Trains,1.0,9.99,37.3279
Castle Expander Pack,2000,Bulk Bricks,24.0,4.99,10.0
Green Passenger Wagon,2001,Trains,194.0,19.99,84.44
Arch,2002,Bulk Bricks,36.0,5.99,7.95
Red Plates,2002,Bulk Bricks,84.0,4.99,7.0
Train Motor 9 V,2002,Trains,3.0,24.99,114.99
Technic Bushes,2003,Bulk Bricks,130.0,9.99,10.98
Train Connection Wire,2003,Trains,1.0,8.99,75.0
Angel,2003,Seasonal,33.0,2.49,15.0
Pop Studio,2004,Belville,102.0,22.99,39.99
Police Motorcycle,2005,City,28.0,3.99,8.0
Police Car,2005,City,59.0,5.99,11.0
Fire Helicopter,2005,City,75.0,9.99,24.99
Fire Truck,2005,City,214.0,22.99,25.2
Fire Car,2005,City,46.0,3.99,8.0
Street Sweeper,2005,City,63.0,7.99,20.0
Construction Site,2005,City,298.0,39.99,75.0
Prisoner Transport,2005,City,98.0,12.99,33.7309
Mini Digger,2005,City,36.0,3.99,10.0
XXL Mobile Crane,2005,City,524.0,69.99,210.0
Straight & Crossroad Plates,2005,City,2.0,14.99,15.99
T-Junction & Curved Road Plates,2005,City,2.0,14.99,15.99
Fork-Lift,2005,Technic,729.0,69.99,169.6085
Toa Hordika Vakama,2005,Bionicle,48.0,8.99,42.275
Death Star II,2005,Star Wars,3441.0,269.99,1800.0
Sandcrawler,2005,Star Wars,1669.0,139.99,388.88
Mrs. Bunny,2005,Seasonal,61.0,3.99,9.0
Krusty Krab,2006,SpongeBob SquarePants,295.0,19.99,218.0
Build-A-Bob,2006,SpongeBob SquarePants,445.0,29.99,93.75
Adventures in Bikini Bottom,2006,SpongeBob SquarePants,579.0,39.99,249.99
Auto Pod,2006,Creator,56.0,3.49,11.0
Robo Pod,2006,Creator,65.0,3.49,12.0
Prehistoric Power,2006,Creator,380.0,19.99,112.5
Roaring Roadsters,2006,Creator,931.0,60.0,50.0
Baby Zoo,2006,Duplo,18.0,9.99,66.752
LEGO Classic House Building,2006,Make and Create,233.0,14.99,20.0
V-wing Fighter,2006,Star Wars,118.0,10.0,46.3719
B-wing Fighter,2006,Star Wars,435.0,34.99,150.0
Slave I,2006,Star Wars,537.0,49.99,350.0
Jabba's Sail Barge,2006,Star Wars,781.0,74.99,619.5476
Imperial Star Destroyer,2006,Star Wars,1367.0,99.99,399.99
X-wing Fighter,2006,Star Wars,437.0,49.99,95.4406
Viking Double Catapult vs. the Armored Ofnir Dragon,2006,Vikings,505.0,39.99,90.0
Stealth Hunter,2006,Exo-Force,164.0,14.99,74.0969
Striking Venom,2006,Exo-Force,646.0,49.99,100.0
Sentry,2006,Exo-Force,78.0,4.99,18.5242
The Batmobile: Two-Face's Escape,2006,Batman,386.0,29.99,249.99
Arkham Asylum,2006,Batman,860.0,79.99,499.99
Ambulance,2006,City,118.0,7.99,49.99
Airport Fire Truck,2006,City,148.0,14.99,39.55
Switching Tracks,2006,City,8.0,15.99,10.0
Airplane Mechanic,2006,City,26.0,3.49,17.0
Doctor's Car,2006,City,66.0,5.99,24.99
Rescue Helicopter,2006,City,249.0,19.99,55.0
Building Crane,2006,City,721.0,69.99,330.3712
Fire Truck,2006,Technic,1035.0,74.99,131.76
Race for the Mask of Life,2006,Bionicle,507.0,59.99,90.0
Dracus,2006,Castle,38.0,9.99,50.0
Toa Jaller,2006,Bionicle,46.0,10.0,70.923
Toa Hahli,2006,Bionicle,46.0,9.99,57.7939
Toa Kongu,2006,Bionicle,46.0,9.99,44.7935
Interactive Servo Motor,2006,Mindstorms,1.0,24.99,34.99
Touch Sensor,2006,Mindstorms,1.0,24.99,1.85
Sound Sensor,2006,Mindstorms,1.0,34.99,12.99
Ultrasonic Sensor,2006,Mindstorms,1.0,39.99,9.99
Holiday Train,2006,Advanced models,965.0,89.99,499.97
Imperial AT-ST,2006,Star Wars,1068.0,79.99,570.0
Vader's TIE Advanced,2006,Star Wars,1212.0,99.99,979.0
King's Castle,2006,Castle,869.0,99.99,499.0
Boeing 787 Dreamliner,2006,Advanced models,1197.0,79.99,635.0
Mini Construction,2007,Creator,68.0,4.99,11.88
Mini Robots,2007,Creator,77.0,4.99,26.5275
Mini Flyers,2007,Creator,76.0,4.99,8.95
Doc & Patient,2007,City,18.0,2.99,22.0
Model Town House,2007,Creator,1174.0,69.99,242.7831
Big Rig,2007,Creator,550.0,30.0,150.0
House,2007,Creator,731.0,49.99,124.99
Ferris Wheel,2007,Creator,1063.0,69.99,200.0
Mrs. Puff's Boating School,2007,SpongeBob SquarePants,393.0,49.99,149.99
Skeleton Ship Attack,2007,Castle,628.0,69.99,400.0
Dwarves' Mine,2007,Castle,575.0,59.99,255.109
Crossbow Attack,2007,Castle,54.0,5.99,39.99
Knight's Catapult Defense,2007,Castle,123.0,9.99,59.99
Skeleton Tower,2007,Castle,398.0,49.99,313.5
Royal Summer Palace,2007,Belville,167.0,59.99,200.0
Droids Battle Pack,2007,Star Wars,102.0,9.99,74.95
Clone Troopers Battle Pack,2007,Star Wars,58.0,9.99,95.0
General Grievous Starfighter,2007,Star Wars,232.0,19.99,59.7246
Y-wing Fighter,2007,Star Wars,454.0,39.99,74.0594
Imperial Landing Craft,2007,Star Wars,471.0,49.99,107.8926
Naboo N-1 Starfighter with Vulture Droid,2007,Star Wars,280.0,29.99,110.0
Jedi Starfighter with Hyperdrive Booster Ring,2007,Star Wars,575.0,49.99,330.0
Trade Federation MTT,2007,Star Wars,1330.0,99.99,806.9676
Sith Infiltrator,2007,Star Wars,310.0,29.99,90.0
TIE Crawler,2007,Star Wars,548.0,49.99,189.0
Republic Cruiser,2007,Star Wars,919.0,89.99,328.4855
Hoth Rebel Base,2007,Star Wars,548.0,49.99,130.0
MB-01 Eagle Command Base,2007,Space,760.0,89.99,197.991
ETX Alien Mothership Assault ,2007,Space,434.0,49.99,180.0
MX-71 Recon Dropship ,2007,Space,435.0,39.99,151.65
ETX Alien Strike,2007,Space,246.0,19.99,88.099
MX-11 Astro Fighter ,2007,Space,57.0,4.99,26.0408
MT-101 Armored Drilling Unit,2007,Space,635.0,79.99,225.0
Golden Guardian,2007,Exo-Force,267.0,24.99,187.0
Angler Ambush,2007,Aqua Raiders,130.0,9.99,23.5085
The Shipwreck,2007,Aqua Raiders,241.0,24.99,110.1959
The Batcopter: The Chase for Scarecrow,2007,Batman,293.0,29.99,385.0
Cement Truck,2007,Creator,44.0,3.99,8.0
City Advent Calendar,2007,City,232.0,24.99,15.0
Off-Road Fire Rescue,2007,City,131.0,9.99,22.3226
Fire Hovercraft,2007,City,274.0,29.99,97.0516
Fire Station,2007,City,600.0,59.99,133.0887
Cement Mixer,2007,City,213.0,14.99,99.99
Container Stacker,2007,City,218.0,19.99,51.0
Service Station,2007,City,402.0,39.99,92.0
LEGO City Harbor,2007,City,659.0,89.99,399.0
Train Rail Crossing,2007,City,4.0,24.99,187.9664
Train Station,2007,City,387.0,44.99,185.0
Claw Crusher,2007,Exo-Force,99.0,7.99,40.0
Blade Titan,2007,Exo-Force,162.0,14.99,88.0
Sky Guardian,2007,Exo-Force,144.0,14.99,55.0
Aero Booster,2007,Exo-Force,312.0,29.99,150.0
Fight for the Golden Tower,2007,Exo-Force,571.0,49.99,175.0
Mobile Devastator,2007,Exo-Force,1009.0,89.99,314.0
Terrain Crusher,2007,Racers,44.0,4.99,22.29
Raceway Rider,2007,Racers,51.0,4.99,10.7702
Night Driver,2007,Racers,41.0,4.99,20.0
Rally Runner,2007,Racers,51.0,4.99,20.0
Night Crusher,2007,Racers,265.0,19.99,45.0
Ferrari F430 Challenge 1:17,2007,Racers,690.0,49.99,186.9474
Nitro Muscle,2007,Racers,598.0,49.99,75.0
Bullet Run,2007,Racers,796.0,49.99,130.0
Snowmobile,2007,Technic,331.0,29.99,67.1902
Toa Kongu,2007,Bionicle,64.0,9.99,130.0
Toa Jaller,2007,Bionicle,68.0,9.99,175.0
Toa Nuparu,2007,Bionicle,59.0,9.99,175.0
Toa Hahli,2007,Bionicle,59.0,9.99,125.0
Toa Matoro,2007,Bionicle,63.0,9.99,75.0
Carapar,2007,Bionicle,50.0,9.99,80.0
Mantax,2007,Bionicle,58.0,9.99,63.4574
Ehlek,2007,Bionicle,54.0,9.99,200.0
Pridak,2007,Bionicle,47.0,9.99,80.0
Gadunka,2007,Bionicle,176.0,19.99,174.9319
Hydraxon,2007,Bionicle,165.0,19.99,300.0
Maxilos and Spinax,2007,Bionicle,256.0,29.99,495.0
Barraki Deepsea Patrol ,2007,Bionicle,228.0,29.99,120.0
Toa Terrain Crawler ,2007,Bionicle,674.0,69.99,215.0
Defilak,2007,Bionicle,37.0,4.99,25.0
Dekar,2007,Bionicle,37.0,4.99,40.0
Morak,2007,Bionicle,40.0,4.99,34.99
Squid Ammo,2007,Bionicle,7.0,1.99,15.0
Nocturn,2007,Bionicle,116.0,14.99,175.0
Lesovikk,2007,Bionicle,149.0,19.99,199.99
Wheels Set,2007,Education,360.0,39.99,37.3279
Motorized Walking AT-AT,2007,Star Wars,1137.0,129.99,590.0
Ultimate Collector's Millennium Falcon,2007,Star Wars,5197.0,499.99,1645.9363
Cafe Corner,2007,Advanced models,2056.0,139.99,1850.0
Market Street,2007,Advanced models,1248.0,89.99,3099.99
Infrared Seeker,2007,Mindstorms,1.0,49.99,34.99
The Bikini Bottom Express,2008,SpongeBob SquarePants,210.0,19.99,199.99
Rocket Ride,2008,SpongeBob SquarePants,279.0,29.99,199.99
The Emergency Room,2008,SpongeBob SquarePants,236.0,29.99,160.0
Coast Guard Platform,2008,City,469.0,49.99,270.0
Mini Trains,2008,Creator,73.0,4.99,15.0
Cool Convertible,2008,Creator,648.0,49.99,85.0
Beach House,2008,Creator,522.0,34.99,90.0
Stegosaurus,2008,Creator,731.0,49.99,125.0
Builder,2008,City,23.0,3.49,9.0
Public Works,2008,City,31.0,3.49,5.4666
Police Officer,2008,City,21.0,3.49,6.65
Firefighter,2008,City,25.0,3.49,5.2346
The Knight,2008,Castle,21.0,3.49,12.0
Mini Robot,2008,Space,24.0,3.49,11.1603
Troll Warrior,2008,Castle,19.0,3.49,14.6928
Crystal Hawk,2008,Space,26.0,3.49,11.1603
Street Cleaner,2008,City,22.0,3.49,10.0
Coast Guard Kayak,2008,City,21.0,3.49,8.0
Tower Raid,2008,Castle,364.0,29.99,188.0
Troll Assault Wagon,2008,Castle,161.0,19.99,88.88
Troll Battle Wheel,2008,Castle,508.0,39.99,143.178
Troll Warship,2008,Castle,493.0,79.99,412.0
Indiana Jones Motorcycle Chase,2008,Indiana Jones,79.0,9.99,124.95
Indiana Jones and the Lost Tomb,2008,Indiana Jones,277.0,19.99,257.3433
Temple Escape,2008,Indiana Jones,554.0,59.99,650.0
Jungle Duel,2008,Indiana Jones,90.0,9.99,59.95
River Chase,2008,Indiana Jones,234.0,19.99,135.0
Jungle Cutter,2008,Indiana Jones,511.0,39.99,170.0
Temple of the Crystal Skull,2008,Indiana Jones,929.0,79.99,399.99
Peril in Peru,2008,Indiana Jones,625.0,49.99,169.99
MT-21 Mobile Mining Unit,2008,Space,130.0,9.99,47.8096
Imperial Dropship,2008,Star Wars,81.0,9.99,89.99
Rebel Scout Speeder,2008,Star Wars,82.0,9.99,50.8476
Anakin's Jedi Starfighter,2008,Star Wars,153.0,19.99,73.8855
Hailfire Droid & Spider Droid,2008,Star Wars,249.0,19.99,92.0
AT-AP Walker,2008,Star Wars,392.0,39.99,110.0
Rogue Shadow,2008,Star Wars,482.0,49.99,260.0
Magna Guard Starfighter,2008,Star Wars,431.0,44.99,175.0
V-19 Torrent,2008,Star Wars,471.0,54.99,247.5
AT-TE Walker,2008,Star Wars,798.0,89.99,450.0
Republic Attack Gunship,2008,Star Wars,1034.0,119.99,765.0
Droid Gunship,2008,Star Wars,329.0,29.99,139.99
Republic Fighter Tank,2008,Star Wars,592.0,49.99,325.0
The Twilight,2008,Star Wars,882.0,99.99,275.0
Separatist Spider Droid,2008,Star Wars,206.0,29.99,329.99
Mail Van,2008,City,66.0,7.99,35.0
Air Mail,2008,City,88.0,14.99,43.0
Truck & Forklift,2008,City,343.0,24.99,149.99
Cargo Plane,2008,City,463.0,49.99,290.0
Coast Guard Quad Bike,2008,City,33.0,4.99,9.99
Coast Guard 4WD & Jet Scooter,2008,City,130.0,9.99,20.0109
Coast Guard Helicopter & Life Raft,2008,City,445.0,39.99,100.0
Police Helicopter,2008,City,94.0,9.99,16.0
Police Headquarters,2008,City,953.0,89.99,200.0
The Tumbler: Joker's Ice Cream Surprise,2008,Batman,449.0,49.99,550.0
V-19 Torrent,2008,Star Wars,66.0,3.99,7.99
River Dragon,2008,Exo-Force,112.0,7.99,40.0
Arachnoid Stalker,2008,Exo-Force,131.0,7.99,48.88
Assault Tiger,2008,Exo-Force,163.0,14.99,80.0
Chameleon Hunter,2008,Exo-Force,188.0,14.99,60.0
Dark Panther,2008,Exo-Force,244.0,14.99,65.0
Storm Lasher,2008,Exo-Force,283.0,19.99,59.0
Hybrid Rescue Tank,2008,Exo-Force,347.0,29.99,148.0
EZ-Roadster,2008,Racers,45.0,4.99,10.95
Midnight Streak,2008,Racers,43.0,4.99,14.95
ZX Turbo,2008,Racers,55.0,4.99,21.4467
Speed Chasing,2008,Racers,142.0,12.99,39.0
Ferrari F1 Truck,2008,Racers,270.0,19.99,44.3726
Ferrari F1 1:9,2008,Racers,997.0,89.99,500.0
Cruncher Block & Racer X,2008,Racers,367.0,39.99,76.95
Grand Prix Race,2008,Racers,595.0,59.99,285.0
Cherry Picker,2008,Technic,726.0,59.99,239.95
LEGO® Power Functions Motor Set,2008,Power Functions,10.0,29.99,65.0
Excavator,2008,Technic,720.0,59.99,188.88
Telescopic Handler,2008,Technic,1182.0,89.99,167.9755
Crosstown Craze,2008,Racers,503.0,39.99,90.9
Jetpack Pursuit,2008,Agents,88.0,9.99,26.0
Speedboat Rescue,2008,Agents,340.0,39.99,73.7117
Mobile Command Center,2008,Agents,1154.0,89.99,325.0
Deep Sea Quest,2008,Agents,520.0,49.99,220.5916
Toa Pohatu,2008,Bionicle,68.0,12.99,48.5263
Toa Onua,2008,Bionicle,62.0,12.99,75.0
Antroz,2008,Bionicle,53.0,12.99,129.49
Vamprah,2008,Bionicle,49.0,12.99,52.2591
Chirox,2008,Bionicle,49.0,12.99,67.1902
Krika,2008,Bionicle,40.0,12.99,75.0
Gorast,2008,Bionicle,51.0,12.99,45.0
Bitil,2008,Bionicle,54.0,12.99,60.0
Toa Ignika,2008,Bionicle,140.0,19.99,149.85
Battery Box,2008,Power Functions,1.0,6.99,25.0
XL-Motor,2008,Power Functions,1.0,9.99,40.0
M-Motor,2008,Power Functions,1.0,7.49,20.0
IR Receiver,2008,Power Functions,1.0,14.99,25.0
IR Remote Control,2008,Power Functions,1.0,9.49,16.0
Extension Cable (20cm),2008,Power Functions,1.0,2.99,10.0
Rockoh T3,2008,Bionicle,390.0,39.99,103.9365
Radiak,2008,Bionicle,16.0,6.99,30.0
Gavla,2008,Bionicle,14.0,6.99,25.0
Kirop,2008,Bionicle,14.0,6.99,35.0
Mazeka,2008,Bionicle,301.0,29.99,160.0
Town Plan,2008,Advanced models,1981.0,149.99,335.9511
Green Grocer,2008,Advanced models,2352.0,149.99,1500.0
General Grievous,2008,Star Wars,1085.0,89.99,350.0
Volkswagen Beetle,2008,Advanced models,1626.0,119.99,625.0
Death Star,2008,Star Wars,3803.0,399.99,869.99
Star Justice,2008,Factory,895.0,99.99,109.2469
Space Skulls,2008,Factory,956.0,99.99,74.7789
Custom Car Garage,2008,Factory,893.0,69.99,110.6153
Sears Tower,2008,Architecture,69.0,19.99,150.0
John Hancock Center,2008,Architecture,69.0,19.99,180.0
Vintage Minifigure Collection Vol. 1,2008,Miscellaneous,21.0,17.99,50.0
Krusty Krab Adventures,2009,SpongeBob SquarePants,209.0,24.99,250.0
Good Neighbours at Bikini Bottom,2009,SpongeBob SquarePants,425.0,39.99,250.0
Robo Champ,2009,Games,118.0,4.99,11.88
Magikus ,2009,Games,108.0,9.99,10.0
Monster 4,2009,Games,141.0,14.99,18.88
